Start time: 1725127078
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-192 queue1-dy-hpc6a48xlarge-114
# OSU MPI Latency Test v5.8
# Size          Latency (us)
8                      16.89
16                     16.91
32                     16.90
64                     16.97
128                    17.02
256                    17.03
512                    17.10
1024                   17.27
2048                   17.58
4096                   18.47
8192                   20.57
16384                  21.39
32768                  23.08
65536                  26.48
131072                 69.72
262144                 82.09
524288                143.28
1048576               265.50
2097152               509.18
4194304               961.56
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.73
4                       3.46
8                       6.91
16                     13.75
32                     27.92
64                     54.64
128                   110.29
256                   217.73
512                   440.69
1024                  875.72
2048                 1692.66
4096                 3215.70
8192                 5760.88
16384                7803.09
32768                9457.11
65536               10795.75
131072              10455.81
262144              11019.62
524288              11509.63
1048576             11885.51
2097152             11999.92
4194304             12076.42
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-177 queue1-dy-hpc6a48xlarge-92
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      16.38
1                      16.37
2                      16.44
4                      16.38
8                      16.83
16                     16.80
32                     16.85
64                     16.93
128                    17.01
256                    17.02
512                    17.10
1024                   17.36
2048                   17.74
4096                   18.71
8192                   21.11
16384                  21.90
32768                  23.52
65536                  27.30
131072                 70.26
262144                 83.35
524288                144.90
1048576               268.66
2097152               516.06
4194304               972.78
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.86
2                       1.72
4                       3.43
8                       6.95
16                     13.94
32                     27.87
64                     56.06
128                   112.14
256                   222.38
512                   437.29
1024                  865.82
2048                 1704.29
4096                 3235.91
8192                 5718.45
16384                7663.72
32768                9591.21
65536               10609.50
131072              10312.15
262144              10860.48
524288              11452.43
1048576             11801.55
2097152             11968.67
4194304             11994.89
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-177 queue1-dy-hpc6a48xlarge-110
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.87
1                      15.87
2                      15.98
4                      15.85
8                      16.29
16                     16.31
32                     16.31
64                     16.39
128                    16.46
256                    16.49
512                    16.60
1024                   16.78
2048                   17.07
4096                   18.01
8192                   20.24
16384                  21.23
32768                  22.77
65536                  25.93
131072                 70.04
262144                 81.22
524288                141.40
1048576               263.26
2097152               505.16
4194304               953.95
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.76
4                       3.56
8                       7.06
16                     14.04
32                     27.49
64                     55.93
128                   110.22
256                   223.68
512                   442.79
1024                  887.22
2048                 1743.37
4096                 3225.93
8192                 5760.12
16384                7839.27
32768                9573.35
65536               10818.37
