,uri,full_uri,layer_size,digest,media_type,schema_version
38,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,121812911,sha256:2e670136be4e54287ed8c088bf243a758a2a3fce0f1f689ba5d882dbb0cf0c2b,application/vnd.docker.image.rootfs.diff.tar.gzip,2
39,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,112,sha256:2d371ae9723e7880408279a75edb402d706928d396e485d222d137e69d0028d2,application/vnd.docker.image.rootfs.diff.tar.gzip,2
40,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,2260874,sha256:4bf7c174ae0ef145d6311f01b1c54e87e3bde7288f9a02547ce28fd1d2d3c877,application/vnd.docker.image.rootfs.diff.tar.gzip,2
41,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,1595370,sha256:583588639be7b862be88c3e92ce65f3ce1a82e4ca7ddbc4cf2012b6befbe915f,application/vnd.docker.image.rootfs.diff.tar.gzip,2
42,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,1445416,sha256:dac0b0b95bd1965b7e3cedc64ae778fdf12d58d5738f95e2ac4630175060596f,application/vnd.docker.image.rootfs.diff.tar.gzip,2
43,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,62829934,sha256:bae4586fd5dfb014114ba0be7f102b23a2df56b16e76fa88b098c02b73013b65,application/vnd.docker.image.rootfs.diff.tar.gzip,2
44,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,36438315,sha256:fdb78c9f660ce8f0709a48abdaa40d9e1e4596229a066bd4a89ac4f33a3c76fd,application/vnd.docker.image.rootfs.diff.tar.gzip,2
45,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,32,sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,application/vnd.docker.image.rootfs.diff.tar.gzip,2
46,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,3539176,sha256:a00a94d2d007e6890f8f75ce635db8737988fc2da14216fa9313ef69c989bd5a,application/vnd.docker.image.rootfs.diff.tar.gzip,2
47,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,247004,sha256:c2432e329589eedca6748c2031254ad0063af020dc3b82969834229473021190,application/vnd.docker.image.rootfs.diff.tar.gzip,2
48,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:rocky-8,32,sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,application/vnd.docker.image.rootfs.diff.tar.gzip,2
49,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,30439778,sha256:7021d1b70935851c95c45ed18156980b5024eda29b99564429025ea04f5ec109,application/vnd.docker.image.rootfs.diff.tar.gzip,2
50,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,4623694,sha256:0d6448aff88945ea46a37cfe4330bdb0ada228268b80da6258a0fec63086f404,application/vnd.docker.image.rootfs.diff.tar.gzip,2
51,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,57593640,sha256:0a7674e3e8fe69dcd7f1424fa29aa033b32c42269aab46cbe9818f8dd7154754,application/vnd.docker.image.rootfs.diff.tar.gzip,2
52,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,185,sha256:b71b637b97c5efb435b9965058ad414f07afa99d320cf05e89f10441ec1becf4,application/vnd.docker.image.rootfs.diff.tar.gzip,2
53,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,6886,sha256:56dc8550293751a1604e97ac949cfae82ba20cb2a28e034737bafd7382559609,application/vnd.docker.image.rootfs.diff.tar.gzip,2
