,experiment,cost,size
245,on-premises/dane/cpu,,256
247,on-premises/dane/cpu,,256
321,aws/eks/cpu,41.095761035156244,256
323,aws/eks/cpu,40.636823291015624,256
325,aws/eks/cpu,40.987496875,256
327,aws/eks/cpu,40.745152539062495,256
419,aws/parallel-cluster/cpu,5.7344,256
421,aws/parallel-cluster/cpu,5.9392,256
423,aws/parallel-cluster/cpu,7.3728,256
425,aws/parallel-cluster/cpu,6.9632,256
427,aws/parallel-cluster/cpu,6.348800000000001,256
461,azure/cyclecloud/cpu,29.952,256
463,azure/cyclecloud/cpu,9.472000000000001,256
465,azure/cyclecloud/cpu,9.472000000000001,256
467,azure/cyclecloud/cpu,24.32,256
469,azure/cyclecloud/cpu,28.928,256
471,azure/cyclecloud/cpu,9.728,256
473,azure/cyclecloud/cpu,21.503999999999998,256
475,azure/cyclecloud/cpu,23.552000000000003,256
477,azure/cyclecloud/cpu,9.472000000000001,256
479,azure/cyclecloud/cpu,26.624000000000002,256
481,azure/cyclecloud/cpu,11.776000000000002,256
579,azure/aks/cpu,135.310609375,256
53,google/gke/gpu,2.0982890097724067,8
55,google/gke/gpu,3.516279243977864,8
57,google/gke/gpu,3.526506699625651,8
59,google/gke/gpu,3.539005194600423,8
61,google/gke/gpu,2.117689635043674,8
63,google/gke/gpu,1.9196302278306747,8
65,google/gke/gpu,3.559355263943142,8
67,google/gke/gpu,2.1157532458835178,8
69,google/gke/gpu,3.4194141659206814,8
71,google/gke/gpu,2.065726752726237,8
73,google/gke/gpu,2.0525531156751846,8
159,google/compute-engine/gpu,2.1884216156005856,8
161,google/compute-engine/gpu,3.5621817515055336,8
163,google/compute-engine/gpu,2.2341189814249676,8
165,google/compute-engine/gpu,2.1660891409979923,8
167,google/compute-engine/gpu,3.498892782253689,8
169,google/compute-engine/gpu,2.1885255045572913,8
171,google/compute-engine/gpu,3.552751755608452,8
173,google/compute-engine/gpu,3.5945543128119577,8
175,google/compute-engine/gpu,2.176846375868055,8
177,google/compute-engine/gpu,3.489814813232422,8
269,on-premises/lassen/gpu,,8
271,on-premises/lassen/gpu,,8
273,on-premises/lassen/gpu,,8
275,on-premises/lassen/gpu,,8
277,on-premises/lassen/gpu,,8
279,on-premises/lassen/gpu,,8
329,aws/eks/gpu,2.248939351606369,8
331,aws/eks/gpu,3.7574653038607697,8
333,aws/eks/gpu,3.755226912911733,8
335,aws/eks/gpu,2.25087424609926,8
337,aws/eks/gpu,3.769023305961821,8
339,aws/eks/gpu,2.2509853607972463,8
341,aws/eks/gpu,3.761602011850145,8
343,aws/eks/gpu,2.2489099223083917,8
345,aws/eks/gpu,2.2492735869460634,8
347,aws/eks/gpu,3.763327481783761,8
503,azure/cyclecloud/gpu,2.154044444444444,8
505,azure/cyclecloud/gpu,1.223888888888889,8
507,azure/cyclecloud/gpu,2.154044444444444,8
509,azure/cyclecloud/gpu,1.223888888888889,8
511,azure/cyclecloud/gpu,2.154044444444444,8
513,azure/cyclecloud/gpu,1.223888888888889,8
515,azure/cyclecloud/gpu,2.154044444444444,8
517,azure/cyclecloud/gpu,1.223888888888889,8
519,azure/cyclecloud/gpu,3.231066666666667,8
521,azure/cyclecloud/gpu,1.8603111111111112,8
611,azure/aks/gpu,2.4544038533210757,8
613,azure/aks/gpu,1.4818893695142537,8
615,azure/aks/gpu,1.4745563144683838,8
617,azure/aks/gpu,2.468825086657206,8
619,azure/aks/gpu,2.455208585103353,8
621,azure/aks/gpu,1.4706242450661131,8
623,azure/aks/gpu,2.4768302688704598,8
625,azure/aks/gpu,1.479083207951652,8
