Start time: 1725076794
Point-to-point pairwise experiments for nodes cluster-256-hpc-126 cluster-256-hpc-8
# OSU MPI Latency Test v5.8
# Size          Latency (us)
64                    249.87
128                   487.60
256                   952.42
512                  1792.33
1024                 3427.45
2048                 6039.33
4096                 9138.99
8192                13690.94
16384               18882.19
32768               21724.31
65536               23342.10
131072              23989.32
262144              24341.16
524288              24509.95
1048576             24610.17
2097152             24652.30
4194304             24672.54
Point-to-point pairwise experiments for nodes cluster-256-hpc-8 cluster-256-hpc-124
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.54
1                       1.53
2                       1.53
4                       1.54
8                       1.54
16                      1.55
32                      1.70
64                      1.75
128                     1.79
256                     2.30
512                     2.40
1024                    2.59
2048                    2.71
4096                    3.46
8192                    3.98
16384                   5.30
32768                   6.79
65536                   8.84
131072                 13.66
262144                 17.02
524288                 27.72
1048576                49.70
2097152                92.13
4194304               176.73
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.07
2                       8.10
4                      15.97
8                      32.68
16                     65.67
32                    129.88
64                    252.20
128                   495.20
256                   956.36
512                  1753.29
1024                 3429.16
2048                 6027.77
4096                 9241.28
8192                13928.16
16384               19076.72
32768               21830.56
65536               23366.02
131072              24021.94
262144              24356.83
524288              24532.57
1048576             24612.72
2097152             24653.39
4194304             24546.99
Point-to-point pairwise experiments for nodes cluster-256-hpc-8 cluster-256-hpc-94
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.56
1                       1.55
2                       1.55
4                       1.56
8                       1.56
16                      1.56
32                      1.71
64                      1.75
128                     1.80
256                     2.31
512                     2.42
1024                    2.62
2048                    2.72
4096                    3.47
8192                    3.98
16384                   5.29
32768                   6.85
65536                   9.05
131072                 13.81
262144                 17.15
524288                 27.79
1048576                49.78
2097152                92.29
4194304               176.73
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.00
2                       8.00
4                      16.28
8                      31.95
16                     65.05
32                    125.85
64                    248.26
128                   486.75
256                   944.33
512                  1739.08
1024                 3378.36
2048                 6018.70
4096                 9175.00
8192                13824.75
16384               18988.19
32768               21789.38
65536               23356.94
131072              24021.17
262144              24356.20
524288              24529.69
1048576             24612.00
2097152             24652.74
4194304             24608.07
Point-to-point pairwise experiments for nodes cluster-256-hpc-10 cluster-256-hpc-117
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.55
1                       1.55
2                       1.55
4                       1.55
8                       1.55
16                      1.55
32                      1.71
64                      1.76
128                     1.79
256                     2.30
512                     2.42
1024                    2.57
