,experiment,cloud,env,env_type,nodes,application,metric,value,gpu_count
52,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.4424021244049,0
53,google/gke/cpu,google,gke,cpu,64,mixbench,duration,283.68335461616516,0
54,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.1919434070587,0
55,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.04228377342224,0
56,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.31757378578186,0
57,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.46218514442444,0
58,google/gke/cpu,google,gke,cpu,64,mixbench,duration,283.1646180152893,0
59,google/gke/cpu,google,gke,cpu,64,mixbench,duration,280.6548216342926,0
60,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.4057002067566,0
61,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.37222385406494,0
62,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.1282272338867,0
63,google/gke/cpu,google,gke,cpu,64,mixbench,duration,280.4358172416687,0
64,google/gke/cpu,google,gke,cpu,64,mixbench,duration,283.5288953781128,0
65,google/gke/cpu,google,gke,cpu,64,mixbench,duration,286.46179485321045,0
66,google/gke/cpu,google,gke,cpu,64,mixbench,duration,286.3467209339142,0
67,google/gke/cpu,google,gke,cpu,64,mixbench,duration,284.1836426258087,0
68,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.1089081764221,0
69,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.97014713287354,0
70,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.6259253025055,0
71,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.56036591529846,0
72,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.47891092300415,0
73,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.23358726501465,0
74,google/gke/cpu,google,gke,cpu,64,mixbench,duration,280.8106770515442,0
75,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.8098270893097,0
76,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.2570996284485,0
77,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.2557621002197,0
78,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.16229701042175,0
79,google/gke/cpu,google,gke,cpu,64,mixbench,duration,283.49162793159485,0
80,google/gke/cpu,google,gke,cpu,64,mixbench,duration,286.93008255958557,0
81,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.69684076309204,0
82,google/gke/cpu,google,gke,cpu,64,mixbench,duration,283.75922870635986,0
83,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.6218559741974,0
84,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.0271968841553,0
85,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.06549644470215,0
86,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.4256980419159,0
87,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.81158089637756,0
88,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.54923582077026,0
89,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.5190260410309,0
90,google/gke/cpu,google,gke,cpu,64,mixbench,duration,283.60569190979004,0
91,google/gke/cpu,google,gke,cpu,64,mixbench,duration,288.52088236808777,0
92,google/gke/cpu,google,gke,cpu,64,mixbench,duration,283.95845341682434,0
93,google/gke/cpu,google,gke,cpu,64,mixbench,duration,283.4053611755371,0
94,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.82316279411316,0
95,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.55959248542786,0
96,google/gke/cpu,google,gke,cpu,64,mixbench,duration,288.4760913848877,0
97,google/gke/cpu,google,gke,cpu,64,mixbench,duration,280.8762848377228,0
98,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.12710905075073,0
99,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.2035994529724,0
100,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.2607316970825,0
101,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.88780307769775,0
102,google/gke/cpu,google,gke,cpu,64,mixbench,duration,288.534738779068,0
103,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.53861927986145,0
104,google/gke/cpu,google,gke,cpu,64,mixbench,duration,285.02647972106934,0
105,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.96253776550293,0
106,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.52011346817017,0
107,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.4988281726837,0
108,google/gke/cpu,google,gke,cpu,64,mixbench,duration,283.68986201286316,0
109,google/gke/cpu,google,gke,cpu,64,mixbench,duration,283.98931193351746,0
110,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.58453392982483,0
111,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.3585801124573,0
112,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.4653766155243,0
113,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.5401248931885,0
114,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.23375630378723,0
115,google/gke/cpu,google,gke,cpu,64,mixbench,duration,283.4140179157257,0
116,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.4041073322296,0
117,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.8211233615875,0
118,google/gke/cpu,google,gke,cpu,64,mixbench,duration,280.52220916748047,0
119,google/gke/cpu,google,gke,cpu,64,mixbench,duration,285.1823761463165,0
