,experiment,cloud,env,env_type,nodes,application,problem_size,metric,value
83,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.619503259658813
84,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.565442085266113
85,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.566173791885376
86,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.557557344436646
87,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.52682375907898
88,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.568209171295166
89,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,13.439627647399902
90,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.535362958908081
91,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.588177919387817
92,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.52777099609375
93,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.572049140930176
94,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.579493999481201
95,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.555406332015991
96,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.561317443847656
97,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,13.409075260162354
98,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,13.44120478630066
99,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.592234134674072
100,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.585877418518066
101,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.590696334838867
102,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.678462028503418
103,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,13.373740673065186
104,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.494574785232544
