flux-sample-2 flux-sample-12
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
256                   160.49
512                   317.37
1024                  629.24
2048                 1235.03
4096                 2294.84
8192                 3704.28
16384                4513.59
32768                5486.36
65536                6307.97
131072               6317.59
262144               6465.96
524288               6552.45
1048576              6558.16
2097152              6506.01
4194304              6480.08
flux-sample-12 flux-sample-13
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      23.28
1                      23.29
2                      23.28
4                      23.28
8                      23.99
16                     23.95
32                     23.97
64                     24.03
128                    24.03
256                    24.17
512                    24.39
1024                   24.91
2048                   26.11
4096                   29.01
8192                   34.67
16384                  36.84
32768                  41.64
65536                  49.42
131072                118.50
262144                141.55
524288                248.29
1048576               461.60
2097152               892.58
4194304              1693.82
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.61
2                       1.21
4                       2.43
8                       4.85
16                      9.71
32                     19.31
64                     38.62
128                    76.97
256                   152.61
512                   304.31
1024                  599.62
2048                 1177.24
4096                 2175.17
8192                 3505.59
16384                4342.25
32768                5323.28
65536                6242.61
131072               6334.49
262144               6478.86
524288               6571.96
1048576              6577.09
2097152              6530.04
4194304              6500.86
flux-sample-12 flux-sample-3
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      22.70
1                      22.81
2                      22.83
4                      22.89
8                      23.36
16                     23.31
32                     23.41
64                     23.41
128                    23.60
256                    23.70
512                    23.91
1024                   24.52
2048                   25.58
4096                   28.41
8192                   33.97
16384                  36.42
32768                  41.22
65536                  48.84
131072                117.19
262144                139.82
524288                245.64
1048576               459.18
2097152               886.39
4194304              1680.62
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.62
2                       1.24
4                       2.48
8                       4.92
16                      9.78
32                     19.57
64                     38.85
128                    77.96
256                   156.10
512                   309.91
1024                  609.77
2048                 1193.07
4096                 2202.07
8192                 3544.32
16384                4382.80
32768                5326.82
65536                6237.36
131072               6291.64
262144               6476.91
524288               6575.76
1048576              6590.43
2097152              6539.68
4194304              6515.68
flux-sample-12 flux-sample-9
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      20.50
1                      20.59
2                      20.60
4                      20.54
8                      21.22
16                     21.18
32                     21.20
64                     20.99
128                    21.30
256                    21.39
512                    21.59
1024                   21.93
2048                   23.12
4096                   25.76
8192                   30.41
16384                  32.65
32768                  37.41
65536                  45.04
131072                107.38
262144                130.41
524288                230.37
1048576               432.14
2097152               836.59
4194304              1593.08
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.63
2                       1.26
4                       2.53
8                       4.98
16                     10.02
32                     20.00
64                     40.21
128                    79.88
256                   159.59
512                   316.94
1024                  626.08
2048                 1224.18
4096                 2296.66
8192                 3695.92
16384                4483.24
32768                5456.68
65536                6279.43
131072               6357.52
262144               6492.27
524288               6592.02
1048576              6590.99
2097152              6545.50
4194304              6519.42
flux-sample-12 flux-sample-11
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      39.10
1                      39.01
2                      39.14
4                      39.15
8                      39.71
16                     39.69
32                     39.80
64                     39.69
128                    40.06
256                    40.37
512                    40.76
1024                   41.47
2048                   42.81
4096                   45.70
8192                   52.27
16384                  55.98
32768                  62.25
65536                  71.42
131072                176.45
262144                199.85
524288                342.63
1048576               635.66
2097152              1219.86
4194304              2295.91
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.44
2                       0.90
4                       1.75
8                       3.47
16                      7.07
32                     14.19
64                     28.57
128                    56.39
256                   111.48
512                   226.46
1024                  432.58
2048                  879.94
4096                 1621.57
8192                 2750.46
16384                3809.44
32768                4936.17
65536                5914.14
131072               6118.49
262144               6388.92
524288               6517.64
1048576              6559.49
2097152              6524.94
4194304              6505.12
flux-sample-6 flux-sample-15
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      21.69
1                      21.72
2                      21.70
4                      21.70
8                      22.27
16                     22.20
32                     22.29
64                     22.48
128                    22.47
256                    22.45
512                    22.70
1024                   23.35
2048                   24.77
4096                   27.78
8192                   33.43
16384                  35.52
32768                  40.22
65536                  47.48
131072                114.04
262144                136.83
524288                240.21
1048576               448.75
2097152               867.40
4194304              1646.08
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.62
2                       1.24
4                       2.49
8                       4.96
16                      9.94
32                     19.83
64                     39.69
128                    79.06
256                   158.20
512                   312.66
1024                  623.56
2048                 1211.86
4096                 2254.11
8192                 3611.72
16384                4450.37
32768                5382.89
65536                6225.75
131072               6309.34
262144               6447.89
524288               6545.36
1048576              6555.60
2097152              6509.24
4194304              6478.35
flux-sample-6 flux-sample-13
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      22.25
1                      22.28
2                      22.24
4                      22.24
8                      22.88
16                     22.91
32                     22.92
64                     23.10
128                    23.14
256                    23.21
512                    23.47
1024                   24.11
2048                   25.41
4096                   28.46
8192                   33.92
16384                  36.01
32768                  40.76
65536                  48.02
131072                115.30
262144                137.97
524288                242.40
1048576               451.90
2097152               872.57
4194304              1658.67
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.62
2                       1.24
4                       2.47
8                       4.95
16                      9.85
32                     19.74
64                     39.33
128                    78.23
256                   156.39
512                   309.92
1024                  616.25
2048                 1207.96
4096                 2234.15
8192                 3578.21
16384                4141.20
32768                5383.55
65536                6243.33
131072               6313.78
262144               6477.83
524288               6568.22
1048576              6585.81
2097152              6530.39
4194304              6498.40
flux-sample-6 flux-sample-3
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      19.27
1                      19.32
2                      19.28
4                      19.33
8                      19.96
16                     19.97
32                     19.99
64                     20.09
128                    20.01
256                    20.11
512                    20.24
1024                   20.79
2048                   21.85
4096                   24.66
8192                   29.63
16384                  31.75
32768                  36.38
65536                  43.70
131072                103.59
262144                126.40
524288                223.06
1048576               418.75
2097152               811.17
4194304              1547.20
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.66
2                       1.32
4                       2.63
8                       5.25
16                     10.45
32                     21.03
64                     42.13
128                    83.10
256                   166.73
512                   331.78
1024                  653.70
2048                 1272.93
4096                 2391.74
8192                 3798.32
16384                4601.03
32768                5597.20
65536                6522.02
131072               6478.41
262144               6616.67
524288               6703.46
1048576              6701.28
2097152              6638.27
4194304              6612.14
flux-sample-6 flux-sample-9
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      22.21
1                      22.21
2                      22.19
4                      22.20
8                      22.75
16                     22.77
32                     22.82
64                     23.11
128                    22.93
256                    23.01
512                    23.22
1024                   23.83
2048                   25.23
4096                   28.23
8192                   33.97
16384                  35.96
32768                  40.50
65536                  47.99
131072                114.87
262144                138.07
524288                242.59
1048576               452.38
2097152               873.21
4194304              1658.63
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.62
2                       1.25
4                       2.49
8                       4.93
16                      9.84
32                     19.79
64                     39.46
128                    78.54
256                   156.66
512                   312.05
1024                  618.50
2048                 1206.47
4096                 2230.86
8192                 3596.69
16384                4383.68
32768                5373.31
65536                6246.94
131072               6337.27
262144               6470.68
524288               6560.31
1048576              6574.66
2097152              6506.71
4194304              6486.76
flux-sample-6 flux-sample-11
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      38.25
1                      38.33
2                      38.41
4                      38.28
8                      38.91
16                     38.81
32                     38.80
64                     38.96
128                    39.13
256                    39.27
512                    39.65
1024                   40.49
2048                   41.97
4096                   45.21
8192                   51.94
16384                  55.19
32768                  62.10
65536                  71.26
131072                173.62
262144                196.54
524288                339.84
1048576               626.70
2097152              1209.49
4194304              2268.30
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.45
2                       0.91
4                       1.76
8                       3.57
16                      6.80
32                     13.95
64                     26.10
128                    54.38
256                   110.83
512                   227.18
1024                  440.61
2048                  876.02
4096                 1648.94
8192                 2741.87
16384                3512.33
32768                4879.63
65536                5909.04
131072               6084.14
262144               6346.79
524288               6475.76
1048576              6510.48
2097152              6470.24
4194304              6450.77
flux-sample-15 flux-sample-13
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
