Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
           14,      7.250,    2.75,  353.39,  48.74,      3.625,   12.14,   80.14,  22.11,     14.500,    5.13,  379.50,  26.17,     7.250,    5.47,  177.82,  24.53
           15,      7.750,    4.61,  225.68,  29.12,      3.875,   12.17,   85.47,  22.06,     15.500,    5.10,  407.55,  26.29,     7.750,    5.54,  187.80,  24.23
           16,      8.250,    3.11,  355.82,  43.13,      4.125,   12.14,   91.23,  22.12,     16.500,    5.06,  437.53,  26.52,     8.250,    5.59,  198.05,  24.01
            0,      0.250,    4.91,    6.83,  27.32,      0.125,   11.98,    2.80,  22.40,      0.500,    4.96,   13.53,  27.07,     0.250,    4.92,    6.82,  27.26
            1,      0.750,    4.94,   20.36,  27.15,      0.375,   11.99,    8.40,  22.39,      1.500,    4.99,   40.32,  26.88,     0.750,    4.97,   20.24,  26.99
            2,      1.250,    4.95,   33.91,  27.13,      0.625,   12.03,   13.94,  22.31,      2.500,    4.98,   67.34,  26.94,     1.250,    4.97,   33.74,  26.99
            3,      1.750,    4.99,   47.07,  26.90,      0.875,   11.99,   19.58,  22.38,      3.500,    5.04,   93.28,  26.65,     1.750,    5.00,   46.94,  26.82
            4,      2.250,    5.13,   58.86,  26.16,      1.125,   12.01,   25.15,  22.35,      4.500,    5.16,  117.01,  26.00,     2.250,    5.13,   58.88,  26.17
            5,      2.750,    5.19,   71.15,  25.87,      1.375,   11.98,   30.82,  22.42,      5.500,    5.17,  142.70,  25.94,     2.750,    5.22,   70.75,  25.73
            6,      3.250,    5.16,   84.54,  26.01,      1.625,   11.99,   36.37,  22.38,      6.500,    5.20,  167.84,  25.82,     3.250,    5.25,   83.14,  25.58
            7,      3.750,    5.25,   95.89,  25.57,      1.875,   11.98,   42.00,  22.40,      7.500,    5.17,  194.85,  25.98,     3.750,    5.30,   95.03,  25.34
            8,      4.250,    5.19,  109.94,  25.87,      2.125,   12.01,   47.51,  22.36,      8.500,    5.22,  218.58,  25.72,     4.250,    5.30,  107.60,  25.32
