Start time: 1725088207
Point-to-point pairwise experiments for nodes cluster-256-hpc-70 cluster-256-hpc-65
# OSU MPI Latency Test v5.8
# Size          Latency (us)
Point-to-point pairwise experiments for nodes cluster-256-hpc-105 cluster-256-hpc-126
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.60
1                       1.60
2                       1.60
4                       1.60
8                       1.60
16                      1.61
32                      1.77
64                      1.82
128                     1.87
256                     2.37
512                     2.49
1024                    2.69
2048                    2.80
4096                    3.54
8192                    4.06
16384                   5.33
32768                   6.84
65536                   8.84
131072                 13.66
262144                 17.29
524288                 27.95
1048576                49.48
2097152                92.59
4194304               177.08
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.01
2                       7.93
4                      16.19
8                      32.02
16                     64.76
32                    128.05
64                    239.36
128                   472.10
256                   917.92
512                  1720.41
1024                 3372.00
2048                 5997.89
4096                 9076.92
8192                13535.11
16384               18978.41
32768               21802.29
65536               23342.45
131072              24007.36
262144              24351.27
524288              24524.68
1048576             24610.54
2097152             24652.21
4194304             24641.31
Point-to-point pairwise experiments for nodes cluster-256-hpc-105 cluster-256-hpc-76
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.58
2                       1.58
4                       1.58
8                       1.58
16                      1.58
32                      1.73
64                      1.78
128                     1.84
256                     2.34
512                     2.46
1024                    2.61
2048                    2.76
4096                    3.50
8192                    4.02
16384                   5.31
32768                   6.78
65536                   8.74
131072                 13.49
262144                 17.25
524288                 27.92
1048576                49.38
2097152                92.91
4194304               177.43
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.80
2                       7.84
4                      15.58
8                      31.26
16                     62.58
32                    123.69
64                    241.55
128                   489.21
256                   919.25
512                  1722.08
1024                 3335.58
2048                 5969.52
4096                 9158.69
8192                13754.23
16384               18502.00
32768               21063.34
65536               23364.33
131072              23929.02
262144              24181.66
524288              24379.93
1048576             24452.47
2097152             24488.93
4194304             24469.28
Point-to-point pairwise experiments for nodes cluster-256-hpc-105 cluster-256-hpc-112
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.57
2                       1.57
4                       1.57
8                       1.57
16                      1.58
32                      1.74
64                      1.77
128                     1.84
256                     2.33
512                     2.43
1024                    2.66
2048                    2.74
4096                    3.49
8192                    3.99
16384                   5.29
32768                   6.79
65536                   9.04
131072                 13.69
262144                 17.22
524288                 27.85
1048576                49.33
2097152                92.43
4194304               176.75
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.92
2                       8.11
4                      16.15
8                      32.55
16                     63.87
32                    129.24
64                    247.30
128                   487.24
256                   944.30
512                  1751.05
1024                 3350.05
2048                 6059.70
4096                 8949.51
8192                13535.26
16384               18793.32
32768               21865.48
65536               23342.82
131072              24013.74
262144              24353.63
524288              24525.75
1048576             24611.73
2097152             24652.55
4194304             24671.96
Point-to-point pairwise experiments for nodes cluster-256-hpc-105 cluster-256-hpc-124
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.57
2                       1.57
4                       1.57
8                       1.58
16                      1.58
32                      1.74
64                      1.78
128                     1.82
256                     2.33
512                     2.44
1024                    2.63
2048                    2.74
4096                    3.47
8192                    4.01
16384                   5.29
32768                   6.80
65536                   8.78
131072                 13.38
262144                 17.25
