,experiment,cloud,env,env_type,nodes,application,metric,value,gpu_count
104,google/compute-engine/cpu,google,compute-engine,cpu,128,mt-gemm,duration,24.53795599937439,0
105,google/compute-engine/cpu,google,compute-engine,cpu,128,mt-gemm,performance_gflops_per_second,469.36,0
106,google/compute-engine/cpu,google,compute-engine,cpu,128,mt-gemm,duration,24.94243621826172,0
107,google/compute-engine/cpu,google,compute-engine,cpu,128,mt-gemm,performance_gflops_per_second,490.51,0
108,google/compute-engine/cpu,google,compute-engine,cpu,128,mt-gemm,duration,25.016606092453003,0
109,google/compute-engine/cpu,google,compute-engine,cpu,128,mt-gemm,performance_gflops_per_second,517.75,0
110,google/compute-engine/cpu,google,compute-engine,cpu,128,mt-gemm,duration,24.24627113342285,0
111,google/compute-engine/cpu,google,compute-engine,cpu,128,mt-gemm,performance_gflops_per_second,499.22,0
112,google/compute-engine/cpu,google,compute-engine,cpu,128,mt-gemm,duration,26.059279441833496,0
113,google/compute-engine/cpu,google,compute-engine,cpu,256,mt-gemm,performance_gflops_per_second,448.76,0
114,google/compute-engine/cpu,google,compute-engine,cpu,256,mt-gemm,duration,62.992594480514526,0
115,google/compute-engine/cpu,google,compute-engine,cpu,256,mt-gemm,performance_gflops_per_second,476.6,0
116,google/compute-engine/cpu,google,compute-engine,cpu,256,mt-gemm,duration,78.7252140045166,0
117,google/compute-engine/cpu,google,compute-engine,cpu,256,mt-gemm,performance_gflops_per_second,452.65,0
118,google/compute-engine/cpu,google,compute-engine,cpu,256,mt-gemm,duration,64.43080544471741,0
119,google/compute-engine/cpu,google,compute-engine,cpu,256,mt-gemm,performance_gflops_per_second,453.72,0
120,google/compute-engine/cpu,google,compute-engine,cpu,256,mt-gemm,duration,64.66645884513855,0
121,google/compute-engine/cpu,google,compute-engine,cpu,256,mt-gemm,performance_gflops_per_second,444.07,0
122,google/compute-engine/cpu,google,compute-engine,cpu,256,mt-gemm,duration,63.12522220611572,0
123,google/compute-engine/gpu,google,compute-engine,gpu,32,mt-gemm,gflops_per_second_rate,1995383.05327,256
124,google/compute-engine/gpu,google,compute-engine,gpu,32,mt-gemm,duration,127.41658329963684,256
125,google/compute-engine/gpu,google,compute-engine,gpu,32,mt-gemm,gflops_per_second_rate,1990513.02847,256
126,google/compute-engine/gpu,google,compute-engine,gpu,32,mt-gemm,duration,131.69517064094543,256
127,google/compute-engine/gpu,google,compute-engine,gpu,32,mt-gemm,gflops_per_second_rate,1995409.040611,256
128,google/compute-engine/gpu,google,compute-engine,gpu,32,mt-gemm,duration,127.48918795585632,256
129,google/compute-engine/gpu,google,compute-engine,gpu,32,mt-gemm,gflops_per_second_rate,1995178.107895,256
130,google/compute-engine/gpu,google,compute-engine,gpu,32,mt-gemm,duration,127.41062235832214,256
131,google/compute-engine/gpu,google,compute-engine,gpu,32,mt-gemm,gflops_per_second_rate,1995190.304391,256
