Start time: 1724890271
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-28 cpu-cluster-hpc-4
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.59
1                       1.59
2                       1.59
4                       1.59
8                       1.59
16                      1.60
32                      1.74
64                      1.79
128                     1.85
256                     2.35
512                     2.46
1024                    2.59
2048                    2.77
4096                    3.51
8192                    4.09
16384                   5.32
32768                   6.83
65536                   8.83
131072                 13.59
262144                 17.21
524288                 27.86
1048576                49.43
2097152                92.39
4194304               177.33
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.90
2                       7.78
4                      15.76
8                      31.11
16                     63.09
32                    123.15
64                    246.43
128                   486.92
256                   923.43
512                  1674.21
1024                 3324.89
2048                 5940.69
4096                 9095.28
8192                13497.64
16384               18969.36
32768               21793.99
65536               23346.62
131072              23998.88
262144              24347.28
524288              24523.40
1048576             24608.77
2097152             24651.97
4194304             24664.94
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-32 cpu-cluster-hpc-20
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.59
1                       1.58
2                       1.58
4                       1.59
8                       1.58
16                      1.59
32                      1.74
64                      1.79
128                     1.84
256                     2.35
512                     2.47
1024                    2.58
2048                    2.76
4096                    3.50
8192                    4.07
16384                   5.31
32768                   6.92
65536                   9.19
131072                 14.06
262144                 17.23
524288                 27.80
1048576                49.35
2097152                92.03
4194304               177.58
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.06
2                       7.90
4                      16.06
8                      31.81
16                     65.16
32                    128.68
64                    249.13
128                   492.74
256                   951.64
512                  1725.80
1024                 3355.67
2048                 5963.83
4096                 9102.62
8192                13458.77
16384               18938.08
32768               21780.31
65536               23357.44
131072              24011.04
262144              24354.55
524288              24526.68
1048576             24611.89
2097152             24652.45
4194304             24674.32
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-32 cpu-cluster-hpc-29
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.58
2                       1.58
4                       1.58
8                       1.58
16                      1.59
32                      1.71
64                      1.79
128                     1.86
256                     2.35
512                     2.45
1024                    2.58
2048                    2.76
4096                    3.50
8192                    4.09
16384                   5.30
32768                   6.75
65536                   8.83
131072                 13.62
262144                 17.25
524288                 27.92
1048576                49.49
2097152                91.88
4194304               177.40
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.96
2                       8.00
4                      15.92
8                      32.55
16                     63.43
32                    127.30
64                    244.81
128                   483.85
256                   947.02
512                  1743.90
1024                 3337.31
2048                 6023.11
4096                 9103.48
8192                13597.91
16384               18902.93
32768               21563.99
65536               23346.66
131072              23999.32
262144              24350.22
524288              24519.37
1048576             24610.67
2097152             24644.12
4194304             24668.43
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-32 cpu-cluster-hpc-22
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.56
2                       1.56
4                       1.56
8                       1.56
16                      1.57
