Date,Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($)
2024-08-30,Compute Engine,6F81-5844-456A,Nvidia Tesla V100 GPU running in Americas,DC0B-9926-40C5,713.39,hour,1769.21,0.00,0.00,1769.207881,1769.21
2024-08-30,Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in Americas,2E27-4F75-95CD,"2,853.608",hour,90.21,0.00,0.00,90.205401,90.21
2024-08-30,Compute Engine,6F81-5844-456A,N1 Predefined Instance Ram running in Americas,6C71-E844-38BC,"10,701.07",gibibyte hour,45.34,0.00,0.00,45.340424,45.34
2024-08-30,Compute Engine,6F81-5844-456A,Balanced PD Capacity,6AE1-525F-8B80,29.862,gibibyte month,2.99,0.00,0.00,2.986188,2.99
2024-08-30,Compute Engine,6F81-5844-456A,External IP Charge on a Standard VM,C054-7F72-A02E,89.161,hour,0.45,0.00,0.00,0.445794,0.45
2024-08-30,Compute Engine,6F81-5844-456A,Storage Image,DAA2-253C-6680,5.64,gibibyte month,0.28,0.00,0.00,0.281993,0.28
2024-08-30,Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,0.478,gibibyte,0.24,0.00,0.00,0.239035,0.24
2024-08-30,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Americas,F274-1692-F213,1.309,gibibyte,0.16,0.00,0.00,0.157091,0.16
2024-08-30,Compute Engine,6F81-5844-456A,Storage Machine Image in US,B6B2-44BB-2476,2.411,gibibyte month,0.12,0.00,0.00,0.120550,0.12
2024-08-30,Cloud Monitoring,58CD-E7C3-72CA,Prometheus Samples Ingested,A4E4-DF03-CDB6,"1,689,030",Samples,0.10,0.00,0.00,0.101321,0.10
2024-08-30,Compute Engine,6F81-5844-456A,Network Data Transfer Out via Carrier Peering Network - Americas Based,984A-1F27-2D1F,0.018,gibibyte,0.00,0.00,0.00,0.000726,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Columbus,735D-08F9-4DB3,0.013,gibibyte,0.00,0.00,0.00,0.000259,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Las Vegas,ACC0-9F23-6029,0.01,gibibyte,0.00,0.00,0.00,0.000206,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Seoul,E600-FADE-52E5,0,gibibyte,0.00,0.00,0.00,0.000032,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to South America,03A5-1B2A-3485,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Africa,11D6-3D11-8E77,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Americas to Americas,123C-0EFC-B7C8,48.858,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Intra Zone Data Transfer Out,14F9-7705-2FD4,"8,464.581",gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Montreal to Americas,1B9B-60EB-AF3D,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from South America to Americas,1CFF-8100-5F11,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Sydney,1D3E-3C54-0FA7,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Americas to Americas,1E55-5CEB-2AB1,0.029,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Zurich to Americas,23F1-7159-60E3,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to APAC,2583-7659-D94A,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Americas,2F99-3A90-373B,0.004,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Las Vegas to Americas,3606-CAF7-7ACF,0.011,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Apac(Excluding Korea and Indonesia),378D-6896-1041,0.004,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS - PCID Whitelisted (RAM cost),3D41-4308-45C0,"10,442.3",gibibyte hour,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Mumbai,4120-E8FB-841B,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Data Transfer In via Carrier Peering Network - Americas Based,427E-B4F2-B5CF,4.649,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Hong Kong to Americas,4B24-F362-2296,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Licensing Fee for Google Container Engine Node (GPU cost),50F7-CAB7-DB8D,696.153,hour,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Licensing Fee for Rocky Linux 8 Optimized for GCP,5919-9FCA-ACA7,2.142,hour,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Sao Paulo to Americas,5D89-42F2-7725,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Licensing Fee for Google Container Engine Node (RAM cost),5DEA-D962-E5F8,"10,442.3",gibibyte hour,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Montreal,5E0D-5F20-E67E,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Licensing Fee for Google Container Engine Node (CPU cost),6934-30E8-A65F,"2,784.613",hour,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to London,7618-3912-3F75,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Seoul to Americas,7708-0869-D509,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Australia to Americas,773D-F52D-63CD,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS - PCID Whitelisted (CPU cost),7927-E3EC-DBBC,87.019,hour,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Hong Kong,7EDC-324D-8320,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from London to Americas,8687-6D6B-5B8B,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Finland,878C-B028-AAFE,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Licensing Fee for Shielded COS (CPU cost),8835-C41E-B3EA,"2,784.613",hour,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from EMEA to Americas,8E2F-8EE0-E9FD,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Mumbai to Americas,90C1-86D9-BD3F,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Americas to Americas,92CB-C25F-B1D1,3.357,gibibyte,0.00,0.00,0.00,0.000000,0.00
