Month,Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($)
2024-08,Compute Engine,6F81-5844-456A,Network Inter Zone Data Transfer Out,DE9E-AFBC-A15A,0.001,gibibyte,0.00,0.00,0.00,0.000002,0.00
2024-08,Deep Learning VM,1394-64A3-F0C6,Licensing Fee for Standard Plan,3F16-3DB5-94D0,19.484,hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Deep Learning VM,1394-64A3-F0C6,Licensing Fee for Standard Plan,4454-774D-CBF3,19.484,hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Deep Learning VM,1394-64A3-F0C6,Licensing Fee for Standard Plan,5A2F-B3A3-DC52,19.484,hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Deep Learning VM,1394-64A3-F0C6,Licensing Fee for Standard Plan,637A-D444-DB85,19.484,hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Deep Learning VM,1394-64A3-F0C6,Licensing Fee for Standard Plan,BCC8-D7D9-731E,19.484,hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Cloud Monitoring,58CD-E7C3-72CA,Metric Volume,A924-09D0-8854,0.086,mebibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Melbourne,0086-8707-C3B1,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to South America,03A5-1B2A-3485,0.047,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Licensing Fee for Debian 10 Buster (CPU cost),0C5C-D8E4-38C1,0.528,hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Jakarta to Americas,0D56-2F80-52A5,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Warsaw to Americas,1053-AC83-A223,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Africa,11D6-3D11-8E77,0.002,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Americas to Americas,123C-0EFC-B7C8,887.422,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Dammam,12EA-010C-5A4C,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Intra Zone Data Transfer Out,14F9-7705-2FD4,"357,380.156",gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Salt Lake City to Americas,1779-5CD6-D18B,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Montreal to Americas,1B9B-60EB-AF3D,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from South America to Americas,1CFF-8100-5F11,0.287,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Sydney,1D3E-3C54-0FA7,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Americas to Americas,1E55-5CEB-2AB1,0.122,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from China to Americas,227B-5B2B-A75A,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Osaka,2330-C6CA-C8BF,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Zurich to Americas,23F1-7159-60E3,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to APAC,2583-7659-D94A,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Berlin to Americas,2CBD-46DE-DC80,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Americas,2F99-3A90-373B,0.122,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Dallas to Americas,3091-E573-A86C,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Las Vegas to Americas,3606-CAF7-7ACF,0.078,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Apac(Excluding Korea and Indonesia),378D-6896-1041,0.089,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Madrid to Americas,3C59-C617-B717,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS - PCID Whitelisted (RAM cost),3D41-4308-45C0,"924,435.247",gibibyte hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Dammam to Americas,3DE6-C55A-EB9C,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Salt Lake City,40D6-DDD1-E008,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Mumbai,4120-E8FB-841B,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Data Transfer In via Carrier Peering Network - Americas Based,427E-B4F2-B5CF,13.904,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Hong Kong to Americas,4B24-F362-2296,0.001,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Dallas,4CCF-185C-4E98,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Licensing Fee for Google Container Engine Node (GPU cost),50F7-CAB7-DB8D,"1,178.872",hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Virginia to Americas,587F-0E36-6A26,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Licensing Fee for Rocky Linux 8 Optimized for GCP,5919-9FCA-ACA7,"2,123.763",hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Sao Paulo to Americas,5D89-42F2-7725,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Licensing Fee for Google Container Engine Node (RAM cost),5DEA-D962-E5F8,"922,555.016",gibibyte hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Montreal,5E0D-5F20-E67E,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Static Ip Charge,66A2-68EA-56BE,0.057,hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Licensing Fee for Google Container Engine Node (CPU cost),6934-30E8-A65F,"230,934.396",hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Warsaw,6F59-4E8C-6224,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
