,,,,
Spend by 'Additional Info' ,Month,,,
Row Labels,8,9,(empty),Total Result
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_19"",""ContainerId"":""7bd82c70-e406-4038-b5e3-6efeb1dc440c"",""NodeId"":""dac5c240-779e-8037-d9c1-189a71fc6819""}",3.05680967867373E-06,,,3.05680967867373E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_2"",""ContainerId"":""ea4ca151-f69f-4bc0-8ccd-61521c51d47b"",""NodeId"":""877ee86b-03a1-b43b-a12f-9b327fb2a806""}",2.81785435974597E-06,,,2.81785435974597E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_20"",""ContainerId"":""b108c3dc-fe53-447d-953f-bc79a5a40148"",""NodeId"":""39dcd3bf-5292-ca68-68b8-c9645deebb69""}",3.02904546260833E-06,,,3.02904546260833E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_21"",""ContainerId"":""4f293b16-0960-4f9c-8736-24287f0c6da4"",""NodeId"":""f4b5564f-332c-979b-c8cc-9935fa2ca657""}",2.90495060384272E-06,,,2.90495060384272E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_22"",""ContainerId"":""ff63ce76-32e8-4f39-abb7-649600f6ee23"",""NodeId"":""6aebe9ac-4381-febd-dd6a-83d99fcc5abd""}",2.87519305944442E-06,,,2.87519305944442E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_23"",""ContainerId"":""b98de3b6-1cee-43ba-a77a-149cff589e5e"",""NodeId"":""c1ba0563-d5f4-e70e-f06b-a8926bd5fac8""}",2.94532567262648E-06,,,2.94532567262648E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_24"",""ContainerId"":""7772e440-16a8-4e76-9a56-ee1ea7c9ec0d"",""NodeId"":""56d02189-274b-b8d3-234a-237ebc6ea960""}",2.85426311194896E-06,,,2.85426311194896E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_25"",""ContainerId"":""9b360f5a-4f10-4c0f-bb81-275a11156142"",""NodeId"":""05243489-8c95-1aef-5b5b-5461644de129""}",2.85180196166037E-06,,,2.85180196166037E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_26"",""ContainerId"":""202aa64d-0830-47e7-bdb3-480ce3af360e"",""NodeId"":""ae38524f-389f-750a-9672-799c5d5f8d34""}",2.97477811574935E-06,,,2.97477811574935E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_27"",""ContainerId"":""8dc049d1-6b75-49a3-8cff-522fa35ca27c"",""NodeId"":""91b83f29-c3a2-9156-26c0-b541ab3d5a4b""}",3.06643053889274E-06,,,3.06643053889274E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_28"",""ContainerId"":""ba44e3bd-324e-413c-a4d3-83f94875f5bd"",""NodeId"":""a327863b-a054-eb18-1415-0daf25bcc762""}",2.75258302688598E-06,,,2.75258302688598E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_29"",""ContainerId"":""cabe7ead-6676-4739-aca1-96d64faab8d4"",""NodeId"":""78f13a21-b647-8ce7-65d9-d1d11f368774""}",2.79055796563624E-06,,,2.79055796563624E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_3"",""ContainerId"":""1da4b6c6-d947-4712-b752-707c5df5a2f7"",""NodeId"":""b5f63267-ddaf-3fd8-fb54-401e554dfd10""}",3.0020948499441E-06,,,3.0020948499441E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_30"",""ContainerId"":""2021735a-e480-47bb-8209-784f6d938ea5"",""NodeId"":""7472527d-2949-5df2-8f4c-38ed4a83de6f""}",2.81091839075088E-06,,,2.81091839075088E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_31"",""ContainerId"":""cdc96b7d-3d6a-40b8-8c4d-a620626cbaee"",""NodeId"":""2a8cb8e9-0810-a548-b568-38734844c66b""}",2.86821641027925E-06,,,2.86821641027925E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_32"",""ContainerId"":""69716d25-eee8-45ed-8041-834b810e2bbe"",""NodeId"":""96f9eaa8-fc6b-07a2-61ca-8b5e3da3d75d""}",1.27648271620273E-06,,,1.27648271620273E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_33"",""ContainerId"":""0f5756ee-3e28-468c-96d1-8fc2c478ea9e"",""NodeId"":""dcd83105-e00f-335d-6e2a-6471a9b9a1ac""}",1.30152136087417E-06,,,1.30152136087417E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_34"",""ContainerId"":""c72f3d72-74d2-4a89-b1ff-3847c09e8c83"",""NodeId"":""d6602972-668a-63ce-e6bc-06b7328292a7""}",1.27737767994403E-06,,,1.27737767994403E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_35"",""ContainerId"":""6f834919-11a0-4cb1-a4b7-afe017a68808"",""NodeId"":""177d9ffe-3d5b-ba00-6355-6cb4929129c1""}",1.44884459674358E-06,,,1.44884459674358E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_36"",""ContainerId"":""7bc9835c-2ea4-447d-af2e-8da469169118"",""NodeId"":""6d37fb8b-2984-79fe-5a8a-44c7aaf51231""}",1.37783735990524E-06,,,1.37783735990524E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_37"",""ContainerId"":""f8e80261-8e35-409f-bced-334264987064"",""NodeId"":""26e288aa-3588-7c68-26c3-65e3f035568d""}",1.2372263520956E-06,,,1.2372263520956E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_38"",""ContainerId"":""50ac9495-b254-47f3-9b0a-b2b917044c0f"",""NodeId"":""0840f1a3-796e-3b43-b073-5179c9abf8be""}",1.29903987050056E-06,,,1.29903987050056E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_39"",""ContainerId"":""eea980c4-edc2-44eb-9371-37ee338817a7"",""NodeId"":""1cbcc98c-26af-4f29-8083-baf776b93def""}",1.19408503174781E-06,,,1.19408503174781E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_4"",""ContainerId"":""1d90c56a-e9ef-4fba-b8fe-ae3445aea58e"",""NodeId"":""c0593b74-a864-596f-1a15-2c14dc57a3a6""}",2.77184508740901E-06,,,2.77184508740901E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_40"",""ContainerId"":""7959f4a8-e239-48d8-b256-5ab0d36d434f"",""NodeId"":""96c41795-8382-37e2-4992-dd005bdf498f""}",1.40995435416698E-06,,,1.40995435416698E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_41"",""ContainerId"":""8553001e-d357-4a9c-a833-28ed679a3fc5"",""NodeId"":""197070dc-60bb-819e-dbe0-7d3056520cda""}",1.3187900930643E-06,,,1.3187900930643E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_42"",""ContainerId"":""556ff502-e574-4dd4-9b9c-45e859e3a404"",""NodeId"":""a09f0449-b110-d744-5acb-2b6ae3d2f512""}",1.24125368893146E-06,,,1.24125368893146E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_43"",""ContainerId"":""24390084-179a-4ef5-acd3-0fedb848ef75"",""NodeId"":""edc23c6e-1eae-ed13-9bcf-a081c8b270f4""}",1.36382304131984E-06,,,1.36382304131984E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_44"",""ContainerId"":""be4f7879-29da-4fc9-9359-70e1287c21e3"",""NodeId"":""a5390e4e-0cae-79c9-6108-d5c54dbcf345""}",1.21054016053676E-06,,,1.21054016053676E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_45"",""ContainerId"":""83a26911-2b31-4f36-a243-262f19675b50"",""NodeId"":""0ca8ab8c-2db5-aa45-a8b1-552ec2ac93f4""}",1.49039939045906E-06,,,1.49039939045906E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_46"",""ContainerId"":""263cc88b-9aba-4ba9-acb4-90fb83767983"",""NodeId"":""363b9cb4-71a9-4b12-9495-8ffd310483d4""}",1.33978106081485E-06,,,1.33978106081485E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_47"",""ContainerId"":""e95a2ec2-1e72-46b9-ae32-139bfe9d2ea6"",""NodeId"":""a002b8be-325d-9f9d-9aa4-9adbb686ce63""}",1.29082247614859E-06,,,1.29082247614859E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_48"",""ContainerId"":""d140b9d2-f375-458b-91f9-cae64069d9ce"",""NodeId"":""f0a074a7-d83f-80d2-3e07-14c3bc59b73a""}",1.3842038065195E-06,,,1.3842038065195E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_49"",""ContainerId"":""d283b2bc-d908-4287-9e7d-2bc15859eb25"",""NodeId"":""119b5e39-45cd-8669-3a3f-2810ea52ba3c""}",1.41861923038959E-06,,,1.41861923038959E-06
